开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0118] beta=0.001 gamma=0.001 | Train total=0.0020 | Val total=0.0002 | Val ctr_nll=-2.9437 | Val ctr_mse=0.046121 | Val conf=0.418
[Epoch 0119] beta=0.001 gamma=0.001 | Train total=0.0028 | Val total=0.0013 | Val ctr_nll=-2.1377 | Val ctr_mse=0.049325 | Val conf=0.448
[Epoch 0120] beta=0.001 gamma=0.001 | Train total=0.0024 | Val total=0.0003 | Val ctr_nll=-3.0208 | Val ctr_mse=0.046170 | Val conf=0.446
[Epoch 0121] beta=0.001 gamma=0.001 | Train total=0.0022 | Val total=0.0003 | Val ctr_nll=-3.4733 | Val ctr_mse=0.044763 | Val conf=0.486
[Epoch 0122] beta=0.001 gamma=0.001 | Train total=0.0018 | Val total=-0.0005 | Val ctr_nll=-3.6697 | Val ctr_mse=0.043459 | Val conf=0.436
[Epoch 0123] beta=0.001 gamma=0.001 | Train total=0.0017 | Val total=0.0012 | Val ctr_nll=-2.5504 | Val ctr_mse=0.045689 | Val conf=0.499
[Epoch 0124] beta=0.001 gamma=0.001 | Train total=0.0026 | Val total=0.0003 | Val ctr_nll=-2.8340 | Val ctr_mse=0.045798 | Val conf=0.423
[Epoch 0125] beta=0.001 gamma=0.001 | Train total=0.0021 | Val total=0.0008 | Val ctr_nll=-2.5805 | Val ctr_mse=0.045922 | Val conf=0.470
[Epoch 0126] beta=0.001 gamma=0.001 | Train total=0.0017 | Val total=0.0013 | Val ctr_nll=-2.0213 | Val ctr_mse=0.048321 | Val conf=0.404
[Epoch 0127] beta=0.001 gamma=0.001 | Train total=0.0017 | Val total=0.0008 | Val ctr_nll=-2.9930 | Val ctr_mse=0.048173 | Val conf=0.471
[Epoch 0128] beta=0.001 gamma=0.001 | Train total=0.0017 | Val total=-0.0009 | Val ctr_nll=-4.4414 | Val ctr_mse=0.043020 | Val conf=0.452
[Epoch 0129] beta=0.001 gamma=0.001 | Train total=0.0014 | Val total=-0.0003 | Val ctr_nll=-3.5450 | Val ctr_mse=0.042828 | Val conf=0.422
[Epoch 0130] beta=0.001 gamma=0.001 | Train total=0.0016 | Val total=-0.0001 | Val ctr_nll=-3.0921 | Val ctr_mse=0.043078 | Val conf=0.410
[Epoch 0131] beta=0.001 gamma=0.001 | Train total=0.0022 | Val total=-0.0012 | Val ctr_nll=-4.4720 | Val ctr_mse=0.041517 | Val conf=0.457
[Epoch 0132] beta=0.001 gamma=0.001 | Train total=0.0012 | Val total=-0.0004 | Val ctr_nll=-3.5598 | Val ctr_mse=0.043116 | Val conf=0.444
[Epoch 0133] beta=0.001 gamma=0.001 | Train total=0.0009 | Val total=-0.0011 | Val ctr_nll=-4.3911 | Val ctr_mse=0.042005 | Val conf=0.456
[Epoch 0134] beta=0.001 gamma=0.001 | Train total=0.0011 | Val total=-0.0012 | Val ctr_nll=-4.6356 | Val ctr_mse=0.041555 | Val conf=0.470
[Epoch 0135] beta=0.001 gamma=0.001 | Train total=0.0012 | Val total=-0.0007 | Val ctr_nll=-3.9017 | Val ctr_mse=0.044086 | Val conf=0.439
[Epoch 0136] beta=0.001 gamma=0.001 | Train total=0.0009 | Val total=-0.0004 | Val ctr_nll=-3.7738 | Val ctr_mse=0.042230 | Val conf=0.433
[Epoch 0137] beta=0.001 gamma=0.001 | Train total=0.0016 | Val total=-0.0001 | Val ctr_nll=-3.3406 | Val ctr_mse=0.042486 | Val conf=0.437
[Epoch 0138] beta=0.001 gamma=0.001 | Train total=0.0013 | Val total=0.0006 | Val ctr_nll=-2.7877 | Val ctr_mse=0.045337 | Val conf=0.444
[Epoch 0139] beta=0.001 gamma=0.001 | Train total=0.0015 | Val total=-0.0002 | Val ctr_nll=-3.2364 | Val ctr_mse=0.044371 | Val conf=0.430
[Epoch 0140] beta=0.001 gamma=0.001 | Train total=0.0011 | Val total=-0.0012 | Val ctr_nll=-4.6346 | Val ctr_mse=0.041359 | Val conf=0.446
